PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_IDGRUPOCONTROL;REQUIREMENTS_ATTRIBUTES_MARCO;REQUIREMENTS_ATTRIBUTES_CATEGORIA;REQUIREMENTS_ATTRIBUTES_DESCRIPCIONCONTROL;REQUIREMENTS_ATTRIBUTES_NIVEL;REQUIREMENTS_ATTRIBUTES_TIPO;REQUIREMENTS_ATTRIBUTES_DIMENSIONES;REQUIREMENTS_ATTRIBUTES_MODOEJECUCION;REQUIREMENTS_ATTRIBUTES_DEPENDENCIAS;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;us-east-1;2026-07-10 16:06:08.494244;op.ext.7.aws.am.1;Gestión de incidentes;op.exp.7;operacional;explotación;Deberá proveerse la información relacionada con contactos alternativos (de facturación, operaciones y seguridad), con correos que no dependan de la misma persona. Deberá comprobarse regularmente que estas cuentas funcionan correctamente y mantener listas de correo para asegurar la recepción de avisos por personal disponible en cada momento. Además, deberán establecerse preguntas de desafío de seguridad y respuestas para el caso de que sea necesario autenticarse como propiterio de la cuenta para ponerse en contacto con el soporte de AWS.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::162665602291:root;account_maintain_current_contact_details;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;us-east-1;2026-07-10 16:06:08.494244;op.ext.7.aws.am.1;Gestión de incidentes;op.exp.7;operacional;explotación;Deberá proveerse la información relacionada con contactos alternativos (de facturación, operaciones y seguridad), con correos que no dependan de la misma persona. Deberá comprobarse regularmente que estas cuentas funcionan correctamente y mantener listas de correo para asegurar la recepción de avisos por personal disponible en cada momento. Además, deberán establecerse preguntas de desafío de seguridad y respuestas para el caso de que sea necesario autenticarse como propiterio de la cuenta para ponerse en contacto con el soporte de AWS.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::162665602291:root;account_security_contact_information_is_registered;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;us-east-1;2026-07-10 16:06:08.494244;op.ext.7.aws.am.1;Gestión de incidentes;op.exp.7;operacional;explotación;Deberá proveerse la información relacionada con contactos alternativos (de facturación, operaciones y seguridad), con correos que no dependan de la misma persona. Deberá comprobarse regularmente que estas cuentas funcionan correctamente y mantener listas de correo para asegurar la recepción de avisos por personal disponible en cada momento. Además, deberán establecerse preguntas de desafío de seguridad y respuestas para el caso de que sea necesario autenticarse como propiterio de la cuenta para ponerse en contacto con el soporte de AWS.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;MANUAL;Login to the AWS Console as root. Choose your account name on the top right of the window -> My Account -> Configure Security Challenge Questions.;arn:aws:iam::162665602291:root;account_security_questions_are_registered_in_the_aws_account;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;us-east-1;2026-07-10 16:06:08.494244;mp.info.6.aws.bcku.1;Copias de seguridad;mp.info.6;medidas de protección;protección de la información;Para los procedimientos de respaldo de cualquiera de los dos entornos (local y nube) y siempre y cuando se utilicen recursos compatibles en el entorno local, la entidad puede hacer uso de AWS Backup, que permite elaboración de planes de respaldo y la definición de reglas de frecuencia, ciclo de vida, lugar de almacenamiento y etiquetado de las copias de seguridad.;alto;recomendacion;disponibilidad;automático;;FAIL;No Backup Vault exist.;arn:aws:backup:us-east-1:162665602291:backup-vault;backup_vaults_exist;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;us-east-1;2026-07-10 16:06:08.494244;mp.com.1.aws.cf.1;Perímetro seguro;mp.com.1;medidas de protección;protección de las comunicaciones;Asegurar que la distribución entre frontales CloudFront y sus orígenes únicamente emplee tráfico HTTPs ;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;CloudFront Distribution E9RGNANRAOBK0 viewers can use HTTP or HTTPS.;arn:aws:cloudfront::162665602291:distribution/E9RGNANRAOBK0;cloudfront_distributions_https_enabled;False;E9RGNANRAOBK0;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;us-east-1;2026-07-10 16:06:08.494244;mp.com.3.aws.cf.1;Protección de la integridad y de la autenticidad;mp.com.3;medidas de protección;protección de las comunicaciones;Asegurar que la distribución entre frontales CloudFront y sus orígenes únicamente emplee tráfico HTTPS.;alto;requisito;integridad,autenticidad;automático;;FAIL;CloudFront Distribution E9RGNANRAOBK0 viewers can use HTTP or HTTPS.;arn:aws:cloudfront::162665602291:distribution/E9RGNANRAOBK0;cloudfront_distributions_https_enabled;False;E9RGNANRAOBK0;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;us-east-1;2026-07-10 16:06:08.494244;op.exp.7.aws.cf.1;Gestión de incidentes;op.exp.7;operacional;explotación;Habilitar los logs de acceso de CloudFront;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;CloudFront Distribution E9RGNANRAOBK0 has logging disabled.;arn:aws:cloudfront::162665602291:distribution/E9RGNANRAOBK0;cloudfront_distributions_logging_enabled;False;E9RGNANRAOBK0;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;us-east-1;2026-07-10 16:06:08.494244;mp.com.3.aws.elb.1;Protección de la integridad y de la autenticidad;mp.com.3;medidas de protección;protección de las comunicaciones;Habilitar TLS en los balanceadores de carga ELB.;alto;requisito;integridad,autenticidad;automático;;FAIL;CloudFront Distribution E9RGNANRAOBK0 uses the default CloudFront certificate, which pins the security policy to TLSv1 and cannot enable post-quantum TLS.;arn:aws:cloudfront::162665602291:distribution/E9RGNANRAOBK0;cloudfront_distributions_pqc_tls_enabled;False;E9RGNANRAOBK0;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;us-east-1;2026-07-10 16:06:08.494244;mp.com.3.aws.elb.2;Protección de la integridad y de la autenticidad;mp.com.3;medidas de protección;protección de las comunicaciones;Evitar el uso de protocolos de cifrado inseguros en la conexión TLS entre clientes y balanceadores de carga. En particular, se deberá evitar el uso de TLS 1.0.;alto;requisito;integridad,autenticidad;automático;;FAIL;CloudFront Distribution E9RGNANRAOBK0 uses the default CloudFront certificate, which pins the security policy to TLSv1 and cannot enable post-quantum TLS.;arn:aws:cloudfront::162665602291:distribution/E9RGNANRAOBK0;cloudfront_distributions_pqc_tls_enabled;False;E9RGNANRAOBK0;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;us-east-1;2026-07-10 16:06:08.494244;mp.s.2.aws.waf.1;Protección de servicios y aplicaciones web;mp.s.2;medidas de protección;protección de los servicios;Todas las aplicaciones web distribuidas por el servicio de AWS CloudFront deben estar integradas con el servicio de firewall de aplicaciones web AWS WAF.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;CloudFront Distribution E9RGNANRAOBK0 is not using AWS WAF web ACL.;arn:aws:cloudfront::162665602291:distribution/E9RGNANRAOBK0;cloudfront_distributions_using_waf;False;E9RGNANRAOBK0;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;ap-northeast-1;2026-07-10 16:06:08.494244;op.acc.6.r5.aws.iam.1;Registro;op.acc.6.r5;operacional;control de acceso;Para registrar los intentos de acceso, se deberá habilitar CloudTrail en todas las regiones y activar el registro de acceso de usuarios.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;ap-northeast-1;2026-07-10 16:06:08.494244;op.exp.5.aws.ct.1;Gestión de cambios;op.exp.5;operacional;explotación;Asegurar que CloudTrail esté activo para todas las regiones.;alto;recomendacion;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;ap-northeast-1;2026-07-10 16:06:08.494244;op.exp.8.aws.ct.1;Registro de actividad;op.exp.8;operacional;explotación;Habilitar la herramienta CloudTrail en todas las regiones. Este serviio está habilitado por defecto cuando se crea una nueva cuenta, pero es posible deshabilitarlo.;alto;requisito;trazabilidad;automático;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;ap-northeast-1;2026-07-10 16:06:08.494244;op.exp.8.aws.ct.6;Registro de actividad;op.exp.8;operacional;explotación;Activar el servicio de AWS CloudTrail para registrar la actividad de los usuarios relativa a la configuración de los servicios VPN Site-to-Site y AWS DirectConnect;alto;medida;trazabilidad;automático;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;ap-northeast-1;2026-07-10 16:06:08.494244;op.exp.9.aws.ct.1;Registro de la gestión de incidentes;op.exp.9;operacional;explotación;Habilitar AWS Incident Manager y AWS CloudTrail en todas las regiones con el fin de recopilar información para generar contenido prescriptivo para la creación de informes exigidos por la medida de seguridad.;alto;recomendacion;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;ap-northeast-1;2026-07-10 16:06:08.494244;op.mon.1.aws.ct.1;Detección de intrusión;op.mon.1;operacional;monitorización del sistema;Activar el servicio de eventos AWS CloudTrail para todas las regiones.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;ap-northeast-2;2026-07-10 16:06:08.494244;op.acc.6.r5.aws.iam.1;Registro;op.acc.6.r5;operacional;control de acceso;Para registrar los intentos de acceso, se deberá habilitar CloudTrail en todas las regiones y activar el registro de acceso de usuarios.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-2:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;ap-northeast-2;2026-07-10 16:06:08.494244;op.exp.5.aws.ct.1;Gestión de cambios;op.exp.5;operacional;explotación;Asegurar que CloudTrail esté activo para todas las regiones.;alto;recomendacion;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-2:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;ap-northeast-2;2026-07-10 16:06:08.494244;op.exp.8.aws.ct.1;Registro de actividad;op.exp.8;operacional;explotación;Habilitar la herramienta CloudTrail en todas las regiones. Este serviio está habilitado por defecto cuando se crea una nueva cuenta, pero es posible deshabilitarlo.;alto;requisito;trazabilidad;automático;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-2:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;ap-northeast-2;2026-07-10 16:06:08.494244;op.exp.8.aws.ct.6;Registro de actividad;op.exp.8;operacional;explotación;Activar el servicio de AWS CloudTrail para registrar la actividad de los usuarios relativa a la configuración de los servicios VPN Site-to-Site y AWS DirectConnect;alto;medida;trazabilidad;automático;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-2:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;ap-northeast-2;2026-07-10 16:06:08.494244;op.exp.9.aws.ct.1;Registro de la gestión de incidentes;op.exp.9;operacional;explotación;Habilitar AWS Incident Manager y AWS CloudTrail en todas las regiones con el fin de recopilar información para generar contenido prescriptivo para la creación de informes exigidos por la medida de seguridad.;alto;recomendacion;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-2:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;ap-northeast-2;2026-07-10 16:06:08.494244;op.mon.1.aws.ct.1;Detección de intrusión;op.mon.1;operacional;monitorización del sistema;Activar el servicio de eventos AWS CloudTrail para todas las regiones.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-2:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;ap-northeast-3;2026-07-10 16:06:08.494244;op.acc.6.r5.aws.iam.1;Registro;op.acc.6.r5;operacional;control de acceso;Para registrar los intentos de acceso, se deberá habilitar CloudTrail en todas las regiones y activar el registro de acceso de usuarios.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-3:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;ap-northeast-3;2026-07-10 16:06:08.494244;op.exp.5.aws.ct.1;Gestión de cambios;op.exp.5;operacional;explotación;Asegurar que CloudTrail esté activo para todas las regiones.;alto;recomendacion;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-3:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;ap-northeast-3;2026-07-10 16:06:08.494244;op.exp.8.aws.ct.1;Registro de actividad;op.exp.8;operacional;explotación;Habilitar la herramienta CloudTrail en todas las regiones. Este serviio está habilitado por defecto cuando se crea una nueva cuenta, pero es posible deshabilitarlo.;alto;requisito;trazabilidad;automático;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-3:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;ap-northeast-3;2026-07-10 16:06:08.494244;op.exp.8.aws.ct.6;Registro de actividad;op.exp.8;operacional;explotación;Activar el servicio de AWS CloudTrail para registrar la actividad de los usuarios relativa a la configuración de los servicios VPN Site-to-Site y AWS DirectConnect;alto;medida;trazabilidad;automático;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-3:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;ap-northeast-3;2026-07-10 16:06:08.494244;op.exp.9.aws.ct.1;Registro de la gestión de incidentes;op.exp.9;operacional;explotación;Habilitar AWS Incident Manager y AWS CloudTrail en todas las regiones con el fin de recopilar información para generar contenido prescriptivo para la creación de informes exigidos por la medida de seguridad.;alto;recomendacion;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-3:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;ap-northeast-3;2026-07-10 16:06:08.494244;op.mon.1.aws.ct.1;Detección de intrusión;op.mon.1;operacional;monitorización del sistema;Activar el servicio de eventos AWS CloudTrail para todas las regiones.;alto;requisito;confidencialidad,integridad,trazabilidad,autenticidad,disponibilidad;automático;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-3:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
aws;The accreditation scheme of the ENS (National Security Scheme) has been developed by the Ministry of Finance and Public Administrations and the CCN (National Cryptological Center). This includes the basic principles and minimum requirements necessary for the adequate protection of information.;162665602291;ap-south-1;2026-07-10 16:06:08.494244;op.acc.6.r5.aws.iam.1;Registro;op.acc.6.r5;operacional;control de acceso;Para registrar los intentos de acceso, se deberá habilitar CloudTrail en todas las regiones y activar el registro de acceso de usuarios.;alto;refuerzo;confidencialidad,integridad,trazabilidad,autenticidad;automático;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-south-1:162665602291:trail;cloudtrail_multi_region_enabled;False;162665602291;ENS;ENS RD 311/2022 - Categoría Alta
